,Unnamed: 0,Depth,size,Accuracy,Dataset Time,Training Time,Total Time
0,25.0,8.0,0.3,0.4888888888888889,0.027723606675863263,0.006982807070016861,0.035201579332351685
1,26.0,6.0,0.3,0.5333333333333333,0.009492002427577972,0.0053194835782051095,0.015279024839401243
2,27.0,6.0,0.3,0.5333333333333333,0.03019118309020996,0.005888309329748154,0.03660745173692703
3,28.0,6.0,0.3,0.6,0.02892860397696495,0.005618229508399963,0.035087790340185165
4,29.0,7.0,0.3,0.4444444444444444,0.031073719263076782,0.006000641733407974,0.03767386078834534
5,30.0,7.0,0.3,0.6833333333333333,0.028189815580844883,0.00869467481970787,0.03743065893650055
6,31.0,8.0,0.3,0.5333333333333333,0.029207479208707813,0.009305715560913086,0.03903098404407501
7,32.0,6.0,0.3,0.55,0.04301146790385246,0.0077478475868701935,0.05134622752666474
8,33.0,5.0,0.3,0.6,0.045011792331933975,0.008387845009565353,0.05393476039171219
9,34.0,6.0,0.3,0.45,0.03737136349081993,0.007154475897550583,0.04510708525776863
10,35.0,6.0,0.3,0.5333333333333333,0.0290219783782959,0.0073060132563114175,0.036823157221078866
11,36.0,7.0,0.3,0.65,0.029879350215196613,0.00814097002148628,0.0385352335870266
12,37.0,7.0,0.3,0.5,0.031785089522600174,0.011295001953840256,0.04375121369957924
13,38.0,10.0,0.3,0.5666666666666667,0.028964642435312268,0.009974341839551927,0.03946289792656898
14,39.0,7.0,0.3,0.65,0.030409764498472214,0.009013302624225616,0.03996160626411438
15,40.0,6.0,0.3,0.56,0.02841352298855782,0.013460323214530943,0.0424649715423584
16,41.0,6.0,0.3,0.6666666666666666,0.028515022248029712,0.012085828930139542,0.04122238978743553
17,42.0,7.0,0.3,0.6266666666666667,0.02863648161292076,0.012349288910627363,0.041540056467056274
18,43.0,9.0,0.3,0.5866666666666667,0.03375866636633873,0.010974042117595673,0.04547229036688805
19,44.0,10.0,0.3,0.56,0.031988132745027535,0.014121033251285553,0.04692595452070236
20,45.0,8.0,0.3,0.6533333333333333,0.031937632709741585,0.011734999716281893,0.04423046484589577
21,46.0,7.0,0.3,0.5733333333333334,0.03922614827752113,0.010250546038150787,0.04998952522873879
22,47.0,7.0,0.3,0.6133333333333333,0.03152555227279663,0.014236658811569212,0.04646557942032814
23,48.0,8.0,0.3,0.5866666666666667,0.02773989737033844,0.011981122195720673,0.04023856297135353
24,49.0,6.0,0.3,0.6266666666666667,0.030735351145267487,0.010093923658132551,0.04137147963047028
25,50.0,7.0,0.3,0.6666666666666666,0.02786940336227417,0.014695864170789719,0.04316755384206772
26,51.0,7.0,0.3,0.4777777777777778,0.027962401509284973,0.016278818249702454,0.044857382774353034
27,52.0,7.0,0.3,0.5777777777777777,0.028765812516212463,0.013452451676130295,0.04279351234436035
28,53.0,8.0,0.3,0.5222222222222223,0.0291619785130024,0.016177069395780563,0.04584937915205956
29,54.0,8.0,0.3,0.5222222222222223,0.029527101665735245,0.012141291052103044,0.04222243279218674
30,55.0,7.0,0.3,0.5222222222222223,0.03263496607542038,0.017432268708944317,0.0508231520652771
31,56.0,7.0,0.3,0.4777777777777778,0.02967935055494308,0.012911535799503326,0.04313300922513008
32,57.0,11.0,0.3,0.5555555555555556,0.029224731028079987,0.02540890872478485,0.05526725947856903
33,58.0,7.0,0.3,0.6,0.029206190258264538,0.013081494718790054,0.04286026582121849
34,59.0,6.0,0.3,0.5,0.04235143214464188,0.011913161724805832,0.05483821779489517
35,60.0,11.0,0.3,0.6666666666666666,0.04929482564330101,0.02550111711025238,0.07535294070839882
36,61.0,6.0,0.3,0.6285714285714286,0.035283748060464866,0.018371764570474625,0.05425368249416351
37,62.0,8.0,0.3,0.5428571428571428,0.029771141707897183,0.017231229692697525,0.04758903756737709
38,63.0,9.0,0.3,0.6571428571428571,0.02955922856926918,0.01870451495051384,0.04895507544279098
39,64.0,9.0,0.3,0.5714285714285714,0.032039925456047065,0.017364814877510067,0.04999377951025963
40,65.0,10.0,0.3,0.5047619047619047,0.02873935177922249,0.017159607261419296,0.04642966389656067
41,66.0,9.0,0.3,0.5523809523809524,0.032398384064435966,0.017797309905290604,0.05089881643652916
42,67.0,8.0,0.3,0.5714285714285714,0.03309204801917076,0.017392229288816452,0.05118131637573242
43,68.0,7.0,0.3,0.5619047619047619,0.031094510108232495,0.01984017714858055,0.051586687564849854
44,69.0,8.0,0.3,0.5142857142857142,0.0311693474650383,0.01671481505036354,0.048451077193021774
45,70.0,14.0,0.3,0.6666666666666666,0.0313841812312603,0.03183555230498314,0.06379269063472748
46,71.0,8.0,0.3,0.575,0.02764206752181053,0.02123196423053741,0.04945969954133034
47,72.0,9.0,0.3,0.6333333333333333,0.03058135136961937,0.020879633724689484,0.05203893780708313
48,73.0,76.0,0.3,0.9105,4.090720623731613,199.08704436942932,203.37835098057982
49,74.0,77.0,0.3,0.8710533333333333,3.853151194751263,152.76667054370046,156.8189853951335
50,75.0,62.0,0.3,0.8567666666666667,3.9167216569185257,146.11709241196513,150.23299926519394
51,76.0,70.0,0.3,0.8499333333333333,3.965570252388716,155.87548219040036,160.04146896675232
52,77.0,71.0,0.3,0.8069466666666667,3.930277436971664,138.93383210152388,143.06472044065598
53,78.0,55.0,0.3,0.7895533333333333,3.988238792866469,126.10130786523224,130.28927551954985
54,79.0,55.0,0.3,0.7738466666666667,3.9461270160973068,123.42623019218443,127.57160616293551
55,80.0,55.0,0.3,0.7681066666666667,4.029774956405163,122.28436743840577,126.51358311250807
56,81.0,56.0,0.3,0.7625133333333334,4.013699851930141,124.59918005391957,128.8125866241753
57,82.0,71.0,0.3,0.7413533333333333,4.0194691345095634,120.6641771644354,124.88428180292247
58,83.0,82.0,0.3,0.9117966666666668,7.555111579596996,430.46201727911836,438.42679874971515
59,84.0,88.0,0.3,0.8796299999999999,7.624312408268452,377.567149206996,385.6031762808561
60,85.0,75.0,0.3,0.86362,7.649142928421497,326.5976413711905,334.65496666356916
61,86.0,71.0,0.3,0.86466,7.8406423926353455,353.9379467740655,362.1905173882842
