,Unnamed: 0,Max,Depth,Test,size,Accuracy,Dataset Time,Training Time,Total Time
0,0,,1,,0.3,0.61106,4.405884563922882,8.75563258677721,13.34266446903348
1,1,,1,,0.3,0.6452399999999999,4.247409710660577,8.759788881987332,13.18920054845512
2,2,,1,,0.3,0.61944,4.283427011221647,8.752268696203826,13.217835733667016
3,3,,1,,0.3,0.6173,4.313302544876933,8.768783124163747,13.264533514156938
4,4,,1,,0.3,0.60068,4.381200607866049,8.769751749932768,13.334307407960296
5,5,,1,,0.3,0.5854866666666667,4.388134336099029,8.762354388833046,13.331857144832613
6,6,,1,,0.3,0.5847933333333334,4.403502156957983,8.771036885678768,13.356841444969175
7,7,,1,,0.3,0.58186,4.430656412616372,8.763711350038648,13.37598524056375
8,8,,1,,0.3,0.5665666666666667,4.4513199403882036,8.757713844999671,13.390631105750801
9,9,,1,,0.3,0.5654266666666666,4.4555762484669685,8.760324144735932,13.39909922145307
10,10,,2,,0.3,0.6515533333333333,4.225759556517005,17.183959405869242,21.592486696317792
11,11,,2,,0.3,0.67214,4.241430642083287,17.1100443135947,21.53449796885252
12,12,,2,,0.3,0.6438133333333333,4.2775569781661025,17.180392362177372,21.641659090295434
13,13,,2,,0.3,0.6681666666666667,4.307918759062886,17.377933211624622,21.86979647912085
14,14,,2,,0.3,0.6530466666666667,4.334538538008928,17.15133186802268,21.66958625614643
15,15,,2,,0.3,0.6099533333333333,4.362180259078741,17.134961910545822,21.68077472783625
16,16,,2,,0.3,0.6014533333333333,4.3753524497151375,17.13413049466908,21.693538744002577
17,17,,2,,0.3,0.60526,4.439843775704503,17.146472388878465,21.770245919004086
18,18,,2,,0.3,0.60064,4.462796811014414,17.16841652803123,21.814502412453294
19,19,,2,,0.3,0.5978466666666666,4.467467911541462,17.1875229049474,21.838742403313518
20,20,,3,,0.3,0.74768,4.223735159263016,25.41796334274113,29.823965752497315
21,21,,3,,0.3,0.69414,4.263153586536647,26.03507548198104,30.48236238397658
22,22,,3,,0.3,0.6957,4.279198709875345,25.34714211523533,29.81194909848273
23,23,,3,,0.3,0.7045933333333333,4.292066879570484,25.273442324250933,29.751010544598106
24,24,,3,,0.3,0.6733666666666667,4.3225345611572275,25.16020750813186,29.66852120123804
25,25,,3,,0.3,0.6551933333333333,4.406870394945145,25.20491375774145,29.79811011999845
26,26,,3,,0.3,0.6432533333333333,4.3768686670809975,25.16340059414506,29.72521891631186
27,27,,3,,0.3,0.63876,4.418425099924207,25.21089481189847,29.814468970522285
28,28,,3,,0.3,0.63842,4.461343312636019,25.38035218603909,30.027274204418067
29,29,,3,,0.3,0.6230666666666667,4.4576502218842515,25.25060941465199,29.89373319223523
30,30,,4,,0.3,0.80306,4.236884230747819,33.28286199644208,37.705334063619375
31,31,,4,,0.3,0.7288466666666666,4.251028226688503,33.09494259953499,37.53182164393365
32,32,,4,,0.3,0.7159533333333333,4.28142480365932,32.96547372452915,37.43264511227608
33,33,,4,,0.3,0.7385266666666667,4.309773229062556,33.050309443846345,37.54690922982991
34,34,,4,,0.3,0.7047333333333333,4.334559060633183,33.443115592002876,37.962869012728326
35,35,,4,,0.3,0.6794333333333333,4.364256227388978,33.904915085062385,38.45571009069681
36,36,,4,,0.3,0.67692,4.3817840963602075,32.89598874561489,37.46413659304381
37,37,,4,,0.3,0.6518466666666667,4.4582330416888,32.96510223671794,37.60948115959764
38,38,,4,,0.3,0.6538666666666667,4.450034663081169,33.51549058035016,38.14970621839166
39,39,,4,,0.3,0.6477,4.471077769994737,32.966345516964786,37.6242403741926
40,40,,5,,0.3,0.8256066666666667,4.24420253559947,41.73073254153133,46.16158825717866
41,41,,5,,0.3,0.7577666666666667,4.259245472028852,41.28284107334912,45.728780390694745
42,42,,5,,0.3,0.7541466666666666,4.2806385792791835,41.21913046948612,45.686689119786024
43,43,,5,,0.3,0.75972,4.314707927405834,40.48968125507236,44.99330781400204
44,44,,5,,0.3,0.7253733333333333,4.3589342422783375,40.27279997244477,44.819435890764
45,45,,5,,0.3,0.69972,4.3877714443951845,40.34428302012385,44.919584890827544
46,46,,5,,0.3,0.6930066666666667,4.417046206071973,40.25261566415429,44.85678674466907
47,47,,5,,0.3,0.6872066666666666,4.4088145438581705,40.329663334414356,44.925672948360436
48,48,,5,,0.3,0.6878666666666666,4.429531769827007,40.45568458549678,45.07250116206706
49,49,,5,,0.3,0.6628266666666667,4.466554576531053,40.35800214856864,45.01183032058179
50,50,,6,,0.3,0.8540933333333334,4.223439576104283,48.3524528797716,52.76339695602656
51,51,,6,,0.3,0.7812,4.259024625644088,47.873993940651424,52.31913110055029
52,52,,6,,0.3,0.7781399999999999,4.276613371446729,47.498015316203244,51.96281911991537
53,53,,6,,0.3,0.7924066666666667,4.312795365229248,47.527799598872654,52.028806323185556
54,54,,6,,0.3,0.7457,4.3539726473391065,47.26647269167007,51.806893056258566
55,55,,6,,0.3,0.7201733333333333,4.347459152340888,47.31048815324903,51.84670229256153
56,56,,6,,0.3,0.7125133333333333,4.414395559579134,47.501676959916956,52.10391518101096
57,57,,6,,0.3,0.7027133333333333,4.488114044070245,47.364401744678624,52.04047945514321
58,58,,6,,0.3,0.70134,4.465231999754907,47.58526836894453,52.2386850360781
