,Unnamed: 0,Depth,size,MaxFeatures,Samples,Accuracy,Dataset Time,Training Time,Total Time
0,0,1,0.25,20,5000000,0.6591577982341266,293.8664592490532,140.23655881360173,435.823003842961
1,1,16,0.25,20,5000000,0.9238188111833848,172.4232222801074,1645.8309549419212,1820.2262463402005
2,2,31,0.25,20,5000000,0.9163118093682326,162.60417823959142,2464.46207259316,2629.376902002841
3,3,46,0.25,20,5000000,0.9125063098334204,160.48564706882462,2963.169399331789,3126.038527665194
4,4,61,0.25,20,5000000,0.9114311382179512,160.02681228192526,3275.4876392777082,3437.955517105758
5,5,76,0.25,20,5000000,0.9111927445115447,161.07213037833571,3424.309694517869,3587.846229541116
6,6,91,0.25,20,5000000,0.9110087493690168,160.4479219201021,3443.054432215169,3606.1481507080607
7,7,106,0.25,20,5000000,0.9108919524524552,288.3530168281868,3025.623922362924,3316.220434703864
8,8,112,0.25,20,5000000,0.9107983549234301,138.1250574463047,2996.268285653088,3136.627434367314
9,9,112,0.25,20,5000000,0.9109463510163331,137.42176668904722,3021.965054843109,3161.6119880122133
10,10,112,0.25,20,5000000,0.9109175517766332,138.49181105662137,3015.1900146640837,3155.91196663864
11,11,112,0.25,20,5000000,0.9108847526425302,137.6306269019842,2991.5261861910108,3131.4042054228485
12,12,112,0.25,20,5000000,0.910901552199022,137.53842613706362,2998.48364976421,3138.262597290799
