    Max Depth Test size  ...          Total Time       Training Time
0          2       0.1  ...  26.876520769670606   22.46394439972937
1          2       0.2  ...  24.180157708004117   19.71301557123661
2          2       0.3  ...   21.56998178176582     17.122817883268
3          2       0.4  ...   19.01152630522847  14.541997469961643
4          2       0.5  ...  16.657405961304903  12.172956380993128
5          3       0.1  ...  37.414132764562964    32.9682395234704
6          3       0.2  ...  33.605228159576654  29.136227099224925
7          3       0.3  ...   29.70570001192391  25.241750875487924
8          3       0.4  ...   26.05487401597202  21.598040223121643
9          3       0.5  ...  22.238221058622003   17.66415792517364
10         4       0.1  ...  47.730167001485825  43.318017615005374
11         4       0.2  ...  42.613262839615345   38.17764709703624
12         4       0.3  ...   37.65442770533264   33.21459008008242
13         4       0.4  ...    32.5627751853317  28.095849633216858
14         4       0.5  ...  27.638366805389524  23.153559351339936
15         5       0.1  ...   57.56860501691699  53.130653051659465
16         5       0.2  ...   51.58740447089076   47.12195810675621
17         5       0.3  ...   45.27362221106887   40.80103552341461
18         5       0.4  ...  38.903542844578624   34.42350408248603
19         5       0.5  ...   32.76593410782516  28.311455076560378


 art1.sh.o734980 
