,Max,Depth Test,size,Accuracy,Dataset Time,Training Time,Total Time
0,0,119,0.1,0.913082,42.5371582172811,4003.552443340421,4047.971433060244
1,1,113,0.2,0.911956,42.35820908658207,3485.1752713620667,3529.739619219676
2,2,112,0.3,0.909858,42.38650847226381,2943.942277247086,2988.8804614394903
3,3,108,0.4,0.9070215,42.3291902411729,2402.814820131287,2447.9713120795786
4,4,98,0.5,0.9043851999999999,42.30195767246187,1954.9735581818966,2000.4091052673762
5,5,108,0.6,0.9007773333333332,42.301897082477815,1471.209467001259,1516.8887776117774
6,6,87,0.7,0.895966,42.36677026003599,1015.8616548608987,1061.790349578485
7,7,79,0.8,0.88878775,42.78003913350403,617.7495532408358,664.2961330208927
8,8,65,0.9,0.8767553333333333,42.37972808256745,269.5748607236892,315.7736646216362
