,Unnamed: 0,Max Depth,Test,size,Accuracy,Dataset Time,Training Time,Total Time
0,0,1,0.3,,0.658766,37.95713309571147,112.31840970739721,152.0464431010187
1,1,1,0.3,,0.658766,37.48929315805435,109.19893966987728,148.41579418815672
2,2,2,0.3,,0.6702353333333333,37.793858405202634,221.8840802721679,261.46298286691314
3,3,2,0.3,,0.6702353333333333,37.29573167860508,220.21531387791043,259.29379626270384
4,4,3,0.3,,0.7014526666666666,37.79290664196015,330.62000336870545,370.21874890103936
5,5,3,0.3,,0.7014526666666666,37.18392897117883,325.38427800219506,364.35847923811525
6,6,4,0.3,,0.7183833333333334,37.817082680761814,431.1632005646825,470.7806616015732
7,7,4,0.3,,0.7183833333333334,37.189949758350856,428.44491024129087,467.4318150607869
8,8,5,0.3,,0.7573093333333333,37.85644990950823,531.8181725218892,571.4877476990222
9,9,5,0.3,,0.7573093333333333,37.658407495357096,525.9565464574844,565.40945427306
10,10,6,0.3,,0.7741293333333333,37.86390668898821,626.6209868527949,666.3059361428022
11,11,7,0.3,,0.8042066666666666,37.7842122130096,700.678052123636,740.2763550654055
12,12,8,0.3,,0.8309726666666667,38.04480044171214,777.4255808405577,817.3092731758952
